,SRR6357070_ReadsPerGene.out.tab,SRR6357071_ReadsPerGene.out.tab,SRR6357072_ReadsPerGene.out.tab,SRA6357070_rsem.genes.results,SRA6357071_rsem.genes.results,SRA6357072_rsem.genes.results
RUF21,416,691,560,0,0,1
snR18,492,784,753,0,0,0
snR39,334,474,440,0,0,0
snR40,323,363,497,0,0,0
snR41,407,673,635,0,0,0
snR54,213,348,356,0,0,0
snR57,336,543,533,0,0,0
snR67,521,1094,1012,0,0,0
YBL100C,1059,1286,1046,0,1,0
YDL016C,575,836,661,2,1,0
YDL133C-A,12603,16366,21204,0,0,0
YDL184C,26527,25040,26240,0,0,0
YDL232W,954,1267,1209,0,4,4
YDR029W,742,1157,936,0,0,0
YDR209C,1001,1141,936,1,0,1
YDR461W,1729,2335,2510,4,3,5
YDR524W-C,19117,26472,23383,0,0,0
YFL031C-A,1959,2131,1692,0,0,0
YJR120W,720,1097,856,1,2,2
YLR264C-A,8260,9949,8506,0,0,0
YLR285C-A,949,1016,929,1,1,0
YLR379W,840,1518,1161,0,0,1
YNL145W,5608,7715,8140,15,16,27
YOR121C,386,507,439,0,1,0
YPL080C,319,591,426,0,0,0